Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.7012907808116206,0.7862068965517242,0.76,0.8142857142857143,0.969,0.8974654377880185,57,18,912,13,72.62239557902018
2,0.7067842104386282,0.8345323741007195,0.8405797101449275,0.8285714285714286,0.977,0.9083717357910907,58,11,919,12,67.24214042663574
4,0.7161845438300615,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,53.76086621602377
6,0.7280646160532623,0.8794326241134752,0.8732394366197183,0.8857142857142857,0.983,0.9380184331797234,62,9,921,8,45.6000629679362
8,0.7238496830300061,0.8732394366197183,0.8611111111111112,0.8857142857142857,0.982,0.9374807987711213,62,10,920,8,42.755415267944336
10,0.7271490241425012,0.8633093525179856,0.8695652173913043,0.8571428571428571,0.981,0.9237327188940092,60,9,921,10,42.132872111002605
12,0.7367995656505114,0.8633093525179856,0.8695652173913043,0.8571428571428571,0.981,0.9237327188940092,60,9,921,10,42.747554054260256
14,0.735527503161324,0.8671328671328671,0.8493150684931506,0.8857142857142857,0.981,0.9369431643625192,62,11,919,8,40.19854977925619
16,0.7129754327639272,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,50.78228373209635
18,0.7075481976848677,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,51.81338963826497
20,0.7060207207402265,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,51.63744852701823
22,0.7051575028742818,0.8467153284671532,0.8656716417910447,0.8285714285714286,0.979,0.909447004608295,58,9,921,12,51.34534268697104
24,0.700920946755488,0.8467153284671532,0.8656716417910447,0.8285714285714286,0.979,0.909447004608295,58,9,921,12,50.549240290323894
26,0.6924541679840156,0.8345323741007195,0.8405797101449275,0.8285714285714286,0.977,0.9083717357910907,58,11,919,12,50.038733927408856
28,0.6953614370616982,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,51.60640416463216
