Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6783416925965976,0.7432432432432432,0.7051282051282052,0.7857142857142857,0.962,0.8804915514592934,55,23,907,15,27.80145830790202
2,0.6873320711656221,0.7669172932330827,0.8095238095238095,0.7285714285714285,0.969,0.8578341013824884,51,12,918,19,31.09546199798584
4,0.6968921869313583,0.7755102040816326,0.7402597402597403,0.8142857142857143,0.967,0.8963901689708141,57,20,910,13,27.7942930094401
6,0.7009143958064139,0.7878787878787878,0.8387096774193549,0.7428571428571429,0.972,0.8660522273425499,52,10,920,18,30.519004669189453
8,0.6991877462327305,0.7878787878787878,0.8387096774193549,0.7428571428571429,0.972,0.8660522273425499,52,10,920,18,30.491971143086747
10,0.6961600401186774,0.7801418439716312,0.7746478873239436,0.7857142857142857,0.969,0.8842549923195084,55,16,914,15,27.693294283548994
12,0.6966279878594454,0.7837837837837838,0.7435897435897436,0.8285714285714286,0.968,0.9035330261136714,58,20,910,12,25.366514625549314
14,0.7142324651078982,0.8378378378378378,0.7948717948717948,0.8857142857142857,0.976,0.9342549923195085,62,16,914,8,21.345372047424316
16,0.712398929169537,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,20.75920255661011
18,0.7146251350671583,0.8435374149659864,0.8051948051948052,0.8857142857142857,0.977,0.9347926267281106,62,15,915,8,18.76045597076416
20,0.713270994727989,0.84,0.7875,0.9,0.976,0.9408602150537635,63,17,913,7,17.73550902048747
22,0.7140116414343314,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,18.18720308939616
24,0.7211292435914153,0.8472222222222222,0.8243243243243243,0.8714285714285714,0.978,0.9287250384024577,61,13,917,9,18.217341855367025
26,0.7296296436756483,0.8571428571428571,0.8181818181818182,0.9,0.979,0.9424731182795699,63,14,916,7,16.407681001027424
28,0.72935237325084,0.8531468531468531,0.8356164383561644,0.8714285714285714,0.979,0.9292626728110599,61,12,918,9,17.923738168080646
30,0.728044413778618,0.8592592592592593,0.8923076923076924,0.8285714285714286,0.981,0.9105222734254992,58,7,923,12,19.353395436604817
32,0.726362678649151,0.8507462686567164,0.890625,0.8142857142857143,0.98,0.9033794162826421,57,7,923,13,20.218479200998942
34,0.7259649263104985,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,19.216828810373944
36,0.7274168776671793,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,19.301785748799645
38,0.7248410495014626,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,19.001422863006596
40,0.7272692142726174,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,19.01753684361776
42,0.728983268804841,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,19.053381570180253
44,0.7276852803513318,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.836678880055747
46,0.725718993146007,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.958265368143717
48,0.7277847103151603,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,18.919099292755124
50,0.7348956344793137,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.702707138061523
52,0.7292103347208309,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.74839864730835
54,0.7281409738653066,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,18.767277615865073
56,0.7283730226315985,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,19.010961252848308
58,0.7257903189511019,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.742020753224693
60,0.7269079875285639,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,18.67766956329346
62,0.7377199629330456,0.8592592592592593,0.8923076923076924,0.8285714285714286,0.981,0.9105222734254992,58,7,923,12,19.330103111267093
64,0.7263613306240263,0.8592592592592593,0.8923076923076924,0.8285714285714286,0.981,0.9105222734254992,58,7,923,12,19.329689979553223
66,0.7255189138323175,0.855072463768116,0.8676470588235294,0.8428571428571429,0.98,0.9165898617511521,59,9,921,11,18.41715555826823
68,0.7262357713143217,0.8676470588235294,0.8939393939393939,0.8428571428571429,0.982,0.9176651305683563,59,7,923,11,18.449755992889404
70,0.7277761525167444,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.702036959330243
72,0.7238781709037713,0.8592592592592593,0.8923076923076924,0.8285714285714286,0.981,0.9105222734254992,58,7,923,12,19.185121421813967
74,0.7252933352720885,0.855072463768116,0.8676470588235294,0.8428571428571429,0.98,0.9165898617511521,59,9,921,11,18.733440119425456
76,0.7234632624755987,0.855072463768116,0.8676470588235294,0.8428571428571429,0.98,0.9165898617511521,59,9,921,11,18.537959365844728
78,0.7250755660710352,0.855072463768116,0.8676470588235294,0.8428571428571429,0.98,0.9165898617511521,59,9,921,11,18.57142512003581
80,0.7285260985770978,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.52136651992798
82,0.7275915648827573,0.8613138686131386,0.8805970149253731,0.8428571428571429,0.981,0.9171274961597542,59,8,922,11,18.684802322387696
84,0.7265375124848675,0.8671328671328671,0.8493150684931506,0.8857142857142857,0.981,0.9369431643625192,62,11,919,8,17.077626419067382
86,0.7295202782941692,0.8794326241134752,0.8732394366197183,0.8857142857142857,0.983,0.9380184331797234,62,9,921,8,17.0066165415446
88,0.7343583174551674,0.8794326241134752,0.8732394366197183,0.8857142857142857,0.983,0.9380184331797234,62,9,921,8,17.054403686523436
90,0.7341091071123962,0.8811188811188811,0.863013698630137,0.9,0.983,0.9446236559139785,63,10,920,7,16.604769337972005
92,0.7339856713861371,0.8811188811188811,0.863013698630137,0.9,0.983,0.9446236559139785,63,10,920,7,16.027849636077878
94,0.7329126733137292,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,18.764830144246417
96,0.7328729803344437,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,18.937605895996093
98,0.7405151660544749,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.984,0.9385560675883257,62,8,922,8,18.47124237060547
100,0.7340417490281826,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.984,0.9385560675883257,62,8,922,8,18.239616940816244
