Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6858411602785448,0.7538461538461538,0.8166666666666667,0.7,0.968,0.8440860215053763,49,11,919,21,70.44446650187176
2,0.7163920554686939,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.98,0.9231950844854071,60,10,920,10,45.94183425903319
4,0.7354361719304298,0.8936170212765957,0.8873239436619719,0.9,0.985,0.9456989247311829,63,8,922,7,35.96061247507731
6,0.7312718659603905,0.8794326241134752,0.8732394366197183,0.8857142857142857,0.983,0.9380184331797234,62,9,921,8,36.28121097564698
8,0.7264467625687617,0.8936170212765957,0.8873239436619719,0.9,0.985,0.9456989247311829,63,8,922,7,35.12437394460042
10,0.7199587210547356,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,35.925243352254235
12,0.7276220363018943,0.8759124087591241,0.8955223880597015,0.8571428571428571,0.983,0.9248079877112134,60,7,923,10,35.411460164388025
14,0.7223411280167664,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,33.78953194936117
16,0.705166956426238,0.8529411764705882,0.8787878787878788,0.8285714285714286,0.98,0.9099846390168971,58,8,922,12,39.63318214416504
18,0.6969942963109379,0.8345323741007195,0.8405797101449275,0.8285714285714286,0.977,0.9083717357910907,58,11,919,12,40.189970830281574
20,0.6964305190578011,0.8235294117647058,0.8484848484848485,0.8,0.976,0.8946236559139785,56,10,920,14,41.94409586588542
22,0.6995990957852055,0.8057553956834532,0.8115942028985508,0.8,0.973,0.8930107526881721,56,13,917,14,40.79518086751302
24,0.696227093411264,0.8028169014084507,0.7916666666666666,0.8142857142857143,0.972,0.8990783410138249,57,15,915,13,39.61363464355469
26,0.6950958079068522,0.7973856209150327,0.7349397590361446,0.8714285714285714,0.969,0.9238863287250384,61,22,908,9,36.022001164754236
28,0.6923435842437332,0.7938931297709924,0.8524590163934426,0.7428571428571429,0.973,0.866589861751152,52,9,921,18,42.247985687255856
30,0.6983780688342188,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.974,0.9067588325652842,58,14,916,12,39.055910059611
32,0.6952923299134287,0.8028169014084507,0.7916666666666666,0.8142857142857143,0.972,0.8990783410138249,57,15,915,13,37.74898440043132
34,0.6912110691846721,0.7971014492753623,0.8088235294117647,0.7857142857142857,0.972,0.8858678955453149,55,13,917,15,38.577623761494955
36,0.6956753974326505,0.8029197080291971,0.8208955223880597,0.7857142857142857,0.973,0.8864055299539171,55,12,918,15,39.343224093119304
38,0.6918503166037732,0.8057553956834532,0.8115942028985508,0.8,0.973,0.8930107526881721,56,13,917,14,38.599062245686845
40,0.693862980904372,0.8057553956834532,0.8115942028985508,0.8,0.973,0.8930107526881721,56,13,917,14,38.71144037882487
42,0.6912526073503555,0.8115942028985508,0.8235294117647058,0.8,0.974,0.8935483870967742,56,12,918,14,39.1628453318278
44,0.6880255188808324,0.7943262411347518,0.7887323943661971,0.8,0.971,0.8919354838709678,56,15,915,14,39.022889213562
46,0.6857795468618025,0.7887323943661971,0.7777777777777778,0.8,0.97,0.8913978494623656,56,16,914,14,39.27310877482096
48,0.6898529352039722,0.8,0.8,0.8,0.972,0.89247311827957,56,14,916,14,39.053704236348466
50,0.6825696035930565,0.7832167832167832,0.7671232876712328,0.8,0.969,0.8908602150537634,56,17,913,14,38.89405502319337
52,0.6884160584021528,0.7887323943661971,0.7777777777777778,0.8,0.97,0.8913978494623656,56,16,914,14,38.69456487019857
54,0.6980859137056882,0.8115942028985508,0.8235294117647058,0.8,0.974,0.8935483870967742,56,12,918,14,38.73946370442709
56,0.6800893315063288,0.7913669064748201,0.7971014492753623,0.7857142857142857,0.971,0.8853302611367128,55,14,916,15,39.56537418365478
58,0.6805924468978201,0.7943262411347518,0.7887323943661971,0.8,0.971,0.8919354838709678,56,15,915,14,39.856797993977864
60,0.6841715962810425,0.7883211678832117,0.8059701492537313,0.7714285714285715,0.971,0.8787250384024577,54,13,917,16,40.32817717234293
62,0.6768758091222119,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.97,0.8847926267281105,55,15,915,15,39.0025284576416
64,0.6822461308992522,0.7943262411347518,0.7887323943661971,0.8,0.971,0.8919354838709678,56,15,915,14,38.11547014872233
66,0.683457301692226,0.7941176470588235,0.8181818181818182,0.7714285714285715,0.972,0.87926267281106,54,12,918,16,40.090633468627935
68,0.6866042845078147,0.8059701492537313,0.84375,0.7714285714285715,0.974,0.8803379416282642,54,10,920,16,40.380143508911125
70,0.6889005440600487,0.7910447761194029,0.828125,0.7571428571428571,0.972,0.872657450076805,53,11,919,17,41.04375143686931
72,0.6908154494977834,0.8,0.8307692307692308,0.7714285714285715,0.973,0.8798003072196621,54,11,919,16,41.40752655029297
74,0.682033346066976,0.7941176470588235,0.8181818181818182,0.7714285714285715,0.972,0.87926267281106,54,12,918,16,40.649919191996254
76,0.6830954026205971,0.7941176470588235,0.8181818181818182,0.7714285714285715,0.972,0.87926267281106,54,12,918,16,40.9553118387858
78,0.6827736695914431,0.8,0.8307692307692308,0.7714285714285715,0.973,0.8798003072196621,54,11,919,16,40.94559972127279
80,0.6775087607217816,0.7769784172661871,0.782608695652174,0.7714285714285715,0.969,0.8776497695852534,54,15,915,16,41.08008425394694
82,0.6750955481881452,0.7769784172661871,0.782608695652174,0.7714285714285715,0.969,0.8776497695852534,54,15,915,16,40.716479008992515
84,0.6761213499700867,0.7883211678832117,0.8059701492537313,0.7714285714285715,0.971,0.8787250384024577,54,13,917,16,40.880893529256184
86,0.6794151225693033,0.7769784172661871,0.782608695652174,0.7714285714285715,0.969,0.8776497695852534,54,15,915,16,41.073118896484374
88,0.693937445556709,0.7913669064748201,0.7971014492753623,0.7857142857142857,0.971,0.8853302611367128,55,14,916,15,40.55770596822103
90,0.6755081755419358,0.782608695652174,0.7941176470588235,0.7714285714285715,0.97,0.8781874039938556,54,14,916,16,41.166110471089674
92,0.671517059302031,0.7633587786259542,0.819672131147541,0.7142857142857143,0.969,0.8512288786482335,50,11,919,20,43.49285386403401
94,0.6844894455225675,0.7883211678832117,0.8059701492537313,0.7714285714285715,0.971,0.8787250384024577,54,13,917,16,41.03481974283854
96,0.6832975765939869,0.7832167832167832,0.7671232876712328,0.8,0.969,0.8908602150537634,56,17,913,14,38.194868138631186
98,0.6802425744899862,0.7808219178082192,0.75,0.8142857142857143,0.968,0.8969278033794164,57,19,911,13,37.597940114339195
100,0.6772869118328464,0.7605633802816901,0.75,0.7714285714285715,0.966,0.876036866359447,54,18,912,16,39.918316701253254
