Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.551949274950242,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.653413225809734
2,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650893128712971
4,0.5522370817099076,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65021296819051
6,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650109310150144
8,0.552299202299312,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650528361002605
10,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65055274327596
12,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650285994211833
14,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650189533233641
16,0.5523011977956183,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65096699396769
18,0.5524339659330181,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65263598759969
20,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650727500915528
22,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649692090352376
24,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651257845560709
26,0.5523011977956183,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650667565663653
28,0.5522647383362767,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650099023183188
30,0.552299202299312,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650292517344155
32,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649892819722494
34,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650228176116942
36,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65031638463338
38,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649845066070556
40,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650548801422119
42,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650821011861163
44,0.5524002831407147,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651007143656413
46,0.5522370817099076,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650509090423583
48,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649239985148112
50,0.5524190477525025,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65155672073364
52,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649367548624674
54,0.5522370817099076,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650740439097085
56,0.5523100898101995,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651322619120279
58,0.5522370817099076,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650176022847495
60,0.5524102722733957,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651154874165853
62,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650953356424965
64,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650633691151933
66,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650412851969401
68,0.5522933206947179,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650409584045411
70,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651160163879394
72,0.5524002831407147,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651512928009032
74,0.5524002831407147,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651463915507
76,0.5523011977956183,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650045509338378
78,0.5523011977956183,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650485382080078
80,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650677420298257
82,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650968939463297
84,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.649951960245767
86,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651337547302246
88,0.5522538508253891,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.65005225499471
90,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650130087534585
92,0.5522370817099076,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650521443684895
94,0.552299202299312,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650356864929199
96,0.5524170522561962,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651162624359129
98,0.5524170522561962,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.651613686879477
100,0.5522824331838304,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,12.650045280456544
