Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6998103112547122,0.7702702702702703,0.7307692307692307,0.8142857142857143,0.966,0.8958525345622119,57,21,909,13,77.04995442708334
2,0.750392818785729,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,49.724607213338224
4,0.7633431511105979,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,31.66820729573568
6,0.7577646229610613,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,38.79235056559245
8,0.7630973415138961,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,40.0388303120931
10,0.7449935239717738,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,35.35699663798014
12,0.7687315871577819,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,29.65051434834798
14,0.755177785443722,0.8873239436619719,0.875,0.9,0.984,0.9451612903225807,63,9,921,7,32.13760361989339
16,0.7590875864247542,0.8936170212765957,0.8873239436619719,0.9,0.985,0.9456989247311829,63,8,922,7,33.45876817067464
18,0.7628689764950304,0.8936170212765957,0.8873239436619719,0.9,0.985,0.9456989247311829,63,8,922,7,30.955855916341147
20,0.7612792485542725,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,27.86408364613851
22,0.7648162139043952,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,29.64430974324544
24,0.7583624907459289,0.9154929577464789,0.9027777777777778,0.9285714285714286,0.988,0.9605222734254992,65,7,923,5,29.152195765177407
26,0.7425116003072499,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,42.35917638142904
28,0.7570158246343068,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.984,0.9385560675883257,62,8,922,8,33.550036392211915
30,0.7576660207772647,0.896551724137931,0.8666666666666667,0.9285714285714286,0.985,0.9589093701996928,65,10,920,5,26.82547286987305
32,0.7558497233928522,0.9090909090909091,0.8904109589041096,0.9285714285714286,0.987,0.9599846390168971,65,8,922,5,26.472671241760253
34,0.7610128162645747,0.9027777777777778,0.8783783783783784,0.9285714285714286,0.986,0.959447004608295,65,9,921,5,26.880082384745283
36,0.7556919938639405,0.8904109589041096,0.8552631578947368,0.9285714285714286,0.984,0.9583717357910906,65,11,919,5,26.186262219746908
38,0.7544050926395107,0.8936170212765957,0.8873239436619719,0.9,0.985,0.9456989247311829,63,8,922,7,29.345914510091145
40,0.731016758731191,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,42.614513600667316
42,0.7603141593578328,0.9,0.9,0.9,0.986,0.946236559139785,63,7,923,7,28.095685030619304
44,0.754495929043869,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,37.24015177408854
46,0.7628030815515193,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,39.24491022745768
48,0.7397460217628262,0.8840579710144928,0.8970588235294118,0.8714285714285714,0.984,0.9319508448540706,61,7,923,9,42.771520996093756
50,0.7562788301424918,0.8951048951048951,0.8767123287671232,0.9142857142857143,0.985,0.9523041474654378,64,9,921,6,27.833891626993815
