Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6977029647656193,0.7786259541984732,0.8360655737704918,0.7285714285714285,0.971,0.8589093701996928,51,10,920,19,77.93932589213053
2,0.7217909111627218,0.8391608391608392,0.821917808219178,0.8571428571428571,0.977,0.9215821812596006,60,13,917,10,53.26570192972819
4,0.7322768083696762,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,38.303710060119634
6,0.7324288127096897,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,38.75397487640381
8,0.7383777903349872,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,35.8090563583374
10,0.7425071363359725,0.9078014184397163,0.9014084507042254,0.9142857142857143,0.987,0.9533794162826421,64,7,923,6,33.63239040374756
12,0.7296968038954289,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,41.64656391143799
14,0.7259481824017258,0.8811188811188811,0.863013698630137,0.9,0.983,0.9446236559139785,63,10,920,7,36.38126328786213
16,0.7234861524048654,0.8759124087591241,0.8955223880597015,0.8571428571428571,0.983,0.9248079877112134,60,7,923,10,42.06206202189128
18,0.7222317231801558,0.8759124087591241,0.8955223880597015,0.8571428571428571,0.983,0.9248079877112134,60,7,923,10,41.79170613606771
20,0.7175823812280566,0.8633093525179856,0.8695652173913043,0.8571428571428571,0.981,0.9237327188940092,60,9,921,10,41.02920290629069
22,0.7200589242974371,0.8695652173913043,0.8823529411764706,0.8571428571428571,0.982,0.9242703533026113,60,8,922,10,41.15254554748535
24,0.7179420699974257,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,39.113290443420404
26,0.7223337548873349,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,40.34599478403727
28,0.7208026129118132,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,39.63264425913493
30,0.7163110526047066,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,39.38700200398764
32,0.7225574454021334,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,39.71506033579509
34,0.7179435584234868,0.8531468531468531,0.8356164383561644,0.8714285714285714,0.979,0.9292626728110599,61,12,918,9,39.45601473490397
36,0.7182614633188803,0.8531468531468531,0.8356164383561644,0.8714285714285714,0.979,0.9292626728110599,61,12,918,9,38.91881983439128
38,0.7263209080635518,0.8652482269503546,0.8591549295774648,0.8714285714285714,0.981,0.9303379416282642,61,10,920,9,37.81775007883708
40,0.7248236317868924,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,38.59674329121908
42,0.7290270679983727,0.8776978417266187,0.8840579710144928,0.8714285714285714,0.983,0.9314132104454685,61,8,922,9,38.694101854960124
44,0.7191323538618869,0.8591549295774648,0.8472222222222222,0.8714285714285714,0.98,0.9298003072196621,61,11,919,9,37.47573129018148
46,0.7178608925258577,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,37.419203262329106
48,0.7214941573376151,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.982,0.9308755760368663,61,9,921,9,38.11109680175781
50,0.7175995741767014,0.8591549295774648,0.8472222222222222,0.8714285714285714,0.98,0.9298003072196621,61,11,919,9,38.45999117533366
