Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.5632889911119661,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,22.47563003540039
2,0.5670884680093934,0.6491228070175439,0.8409090909090909,0.5285714285714286,0.96,0.7605222734254993,37,7,923,33,21.800739262898762
4,0.5893589098661047,0.6564885496183206,0.7049180327868853,0.6142857142857143,0.955,0.7974654377880184,43,18,912,27,16.41893871307373
6,0.5968956898747019,0.65625,0.7241379310344828,0.6,0.956,0.7913978494623656,42,16,914,28,16.383177947998046
8,0.6026011382421624,0.6608695652173913,0.8444444444444444,0.5428571428571428,0.961,0.7676651305683564,38,7,923,32,19.377502524058023
10,0.607393726467568,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.955,0.8106758832565284,45,20,910,25,15.43813714981079
12,0.6174524618491982,0.6666666666666666,0.6619718309859155,0.6714285714285714,0.953,0.8228110599078341,47,24,906,23,14.789421297709147
14,0.6234791721360724,0.671875,0.7413793103448276,0.6142857142857143,0.958,0.7990783410138249,43,15,915,27,15.828963432312014
16,0.6294431274829113,0.6821705426356589,0.7457627118644068,0.6285714285714286,0.959,0.806221198156682,44,15,915,26,15.487701059977212
18,0.6317634399280224,0.6821705426356589,0.7457627118644068,0.6285714285714286,0.959,0.806221198156682,44,15,915,26,15.527042357126872
20,0.6384894109796847,0.6861313868613139,0.7014925373134329,0.6714285714285714,0.957,0.8249615975422426,47,20,910,23,14.934688402811688
22,0.6332593388772427,0.6818181818181818,0.7258064516129032,0.6428571428571429,0.958,0.8122887864823349,45,17,913,25,15.062489051818849
24,0.638801177674299,0.6991869918699187,0.8113207547169812,0.6142857142857143,0.963,0.8017665130568357,43,10,920,27,15.5984299659729
26,0.6333680429500104,0.6984126984126984,0.7857142857142857,0.6285714285714286,0.962,0.8078341013824885,44,12,918,26,15.167572021484375
28,0.6368339530175892,0.6984126984126984,0.7857142857142857,0.6285714285714286,0.962,0.8078341013824885,44,12,918,26,15.027203070322672
30,0.6360435189264442,0.6984126984126984,0.7857142857142857,0.6285714285714286,0.962,0.8078341013824885,44,12,918,26,15.358641866048176
32,0.6390123428519462,0.704,0.8,0.6285714285714286,0.963,0.8083717357910907,44,11,919,26,15.086226577758788
34,0.6365083166551904,0.704,0.8,0.6285714285714286,0.963,0.8083717357910907,44,11,919,26,15.185639521280924
36,0.6390216459947108,0.704,0.8,0.6285714285714286,0.963,0.8083717357910907,44,11,919,26,15.044846884409585
38,0.6425462936817152,0.704,0.8,0.6285714285714286,0.963,0.8083717357910907,44,11,919,26,15.039201424916584
40,0.6402344154157701,0.7007299270072993,0.7164179104477612,0.6857142857142857,0.959,0.8326420890937021,48,19,911,22,13.83474999109904
42,0.6477373488028477,0.7101449275362319,0.7205882352941176,0.7,0.96,0.8397849462365592,49,19,911,21,13.660986328125
44,0.6443691530561001,0.7027027027027027,0.6666666666666666,0.7428571428571429,0.956,0.8574500768049156,52,26,904,18,13.068122965494794
46,0.6443285288526578,0.7014925373134329,0.734375,0.6714285714285714,0.96,0.8265745007680492,47,17,913,23,13.967916069030762
48,0.6487098915658694,0.7194244604316546,0.7246376811594203,0.7142857142857143,0.961,0.8469278033794163,50,19,911,20,13.17888828277588
50,0.642588686193199,0.7121212121212122,0.7580645161290323,0.6714285714285714,0.962,0.8276497695852534,47,15,915,23,14.021358400980631
