Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6282181545721013,0.697986577181208,0.6582278481012658,0.7428571428571429,0.955,0.8569124423963134,52,27,903,18,17.38266398111979
2,0.6289404463060201,0.697986577181208,0.6582278481012658,0.7428571428571429,0.955,0.8569124423963134,52,27,903,18,17.375890528361
4,0.6549785260513755,0.7225806451612903,0.6588235294117647,0.8,0.957,0.8844086021505377,56,29,901,14,16.29437660217285
6,0.671971302486528,0.7466666666666667,0.7,0.8,0.962,0.8870967741935485,56,24,906,14,16.728099702199298
8,0.6711027371901375,0.738255033557047,0.6962025316455697,0.7857142857142857,0.961,0.8799539170506913,55,24,906,15,16.653395144144696
10,0.6804548562537096,0.7482014388489209,0.7536231884057971,0.7428571428571429,0.965,0.8622887864823349,52,17,913,18,17.46064473470052
12,0.6745165959983775,0.7555555555555555,0.7846153846153846,0.7285714285714285,0.967,0.8567588325652842,51,14,916,19,18.30655511220296
14,0.6800077665531252,0.7737226277372263,0.7910447761194029,0.7571428571428571,0.969,0.8710445468509984,53,14,916,17,17.281543375651044
16,0.6958852664008977,0.7887323943661971,0.7777777777777778,0.8,0.97,0.8913978494623656,56,16,914,14,15.833957773844402
18,0.7070612200919443,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.974,0.9067588325652842,58,14,916,12,15.092514247894286
20,0.7162268586803572,0.8344370860927153,0.7777777777777778,0.9,0.975,0.9403225806451613,63,18,912,7,13.622558943430583
22,0.7175634997758759,0.8344370860927153,0.7777777777777778,0.9,0.975,0.9403225806451613,63,18,912,7,13.5312477238973
24,0.7167420669189234,0.8243243243243243,0.782051282051282,0.8714285714285714,0.974,0.9265745007680491,61,17,913,9,13.801711495717365
26,0.7103835086789851,0.8243243243243243,0.782051282051282,0.8714285714285714,0.974,0.9265745007680491,61,17,913,9,13.806287733713786
28,0.7129524312525176,0.8163265306122449,0.7792207792207793,0.8571428571428571,0.973,0.9194316436251919,60,17,913,10,14.063806324005126
30,0.7099123572367577,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.972,0.9188940092165898,60,18,912,10,13.899768549601236
32,0.7061599400065325,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.972,0.9188940092165898,60,18,912,10,13.979462292989092
34,0.7068573093412016,0.8028169014084507,0.7916666666666666,0.8142857142857143,0.972,0.8990783410138249,57,15,915,13,14.374454727172852
36,0.7113694382300058,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.972,0.9188940092165898,60,18,912,10,13.662285785675047
38,0.7093146198307093,0.8108108108108109,0.7692307692307693,0.8571428571428571,0.972,0.9188940092165898,60,18,912,10,13.702312253316244
40,0.7108660401802012,0.8163265306122449,0.7792207792207793,0.8571428571428571,0.973,0.9194316436251919,60,17,913,10,13.830066464742025
42,0.7098970040534858,0.8163265306122449,0.7792207792207793,0.8571428571428571,0.973,0.9194316436251919,60,17,913,10,13.791054795583088
44,0.7140820619158651,0.8163265306122449,0.7792207792207793,0.8571428571428571,0.973,0.9194316436251919,60,17,913,10,13.737200984954834
46,0.7097536454081762,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.974,0.9067588325652842,58,14,916,12,14.270541127522785
48,0.7153852374818426,0.8137931034482758,0.7866666666666666,0.8428571428571429,0.973,0.912826420890937,59,16,914,11,13.712290954589845
50,0.7120466431514657,0.8137931034482758,0.7866666666666666,0.8428571428571429,0.973,0.912826420890937,59,16,914,11,13.701184883117676
