Round,PR-AUC,Max-F1,Precision,Recall,Accuracy,Balanced_Accuracy,TP,FP,TN,FN,Optimal-Threshold
0,0.6475444179745353,0.7323943661971831,0.7222222222222222,0.7428571428571429,0.962,0.8606758832565284,52,20,910,18,21.807379188537595
2,0.6614831780678624,0.7368421052631579,0.6829268292682927,0.8,0.96,0.886021505376344,56,26,904,14,19.311867421468097
4,0.6849754562243792,0.7581699346405228,0.6987951807228916,0.8285714285714286,0.963,0.9008448540706606,58,25,905,12,18.447144616444906
6,0.6907041112911977,0.7702702702702703,0.7307692307692307,0.8142857142857143,0.966,0.8958525345622119,57,21,909,13,18.507324256896972
8,0.6874385527869289,0.7733333333333333,0.725,0.8285714285714286,0.966,0.9024577572964669,58,22,908,12,18.13817399342855
10,0.6903158957022689,0.7702702702702703,0.7307692307692307,0.8142857142857143,0.966,0.8958525345622119,57,21,909,13,18.389763221740722
12,0.695648362678572,0.7862068965517242,0.76,0.8142857142857143,0.969,0.8974654377880185,57,18,912,13,18.635304222106935
14,0.6982882687683674,0.7814569536423841,0.7283950617283951,0.8428571428571429,0.967,0.909600614439324,59,22,908,11,17.327706661224365
16,0.6956904927482928,0.7785234899328859,0.7341772151898734,0.8285714285714286,0.967,0.9029953917050692,58,21,909,12,17.50347754796346
18,0.6960280981715479,0.7837837837837838,0.7435897435897436,0.8285714285714286,0.968,0.9035330261136714,58,20,910,12,17.637194906870523
20,0.6977132463139218,0.7891156462585034,0.7532467532467533,0.8285714285714286,0.969,0.9040706605222735,58,19,911,12,17.89283053080241
22,0.7038427889483582,0.7945205479452054,0.7631578947368421,0.8285714285714286,0.97,0.9046082949308756,58,18,912,12,17.817444375356036
24,0.7111739586885646,0.8055555555555556,0.7837837837837838,0.8285714285714286,0.972,0.9056835637480799,58,16,914,12,17.80738562901815
26,0.7129456205730325,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.974,0.9067588325652842,58,14,916,12,17.775345007578533
28,0.7155813105651112,0.8226950354609929,0.8169014084507042,0.8285714285714286,0.975,0.9072964669738863,58,13,917,12,17.768346506754558
30,0.7173429441739219,0.8235294117647058,0.7590361445783133,0.9,0.973,0.939247311827957,63,20,910,7,15.407352561950686
32,0.7178855215483876,0.8435374149659864,0.8051948051948052,0.8857142857142857,0.977,0.9347926267281106,62,15,915,8,15.684536094665527
34,0.7239591191472287,0.8413793103448276,0.8133333333333334,0.8714285714285714,0.977,0.9281874039938556,61,14,916,9,15.52238791783651
36,0.7184991966447043,0.8391608391608392,0.821917808219178,0.8571428571428571,0.977,0.9215821812596006,60,13,917,10,15.70742531458537
38,0.7173737495615486,0.8309859154929577,0.8194444444444444,0.8428571428571429,0.976,0.9144393241167434,59,13,917,11,15.834432417551676
40,0.7188658300752457,0.8309859154929577,0.8194444444444444,0.8428571428571429,0.976,0.9144393241167434,59,13,917,11,15.683816312154136
42,0.7185208166839899,0.8368794326241135,0.8309859154929577,0.8428571428571429,0.977,0.9149769585253456,59,12,918,11,15.711989962259928
44,0.7205514284659087,0.8368794326241135,0.8309859154929577,0.8428571428571429,0.977,0.9149769585253456,59,12,918,11,15.537828311920165
46,0.7174284848151324,0.8260869565217391,0.8382352941176471,0.8142857142857143,0.976,0.9012288786482334,57,11,919,13,15.79226994832357
48,0.7197199740025454,0.8391608391608392,0.821917808219178,0.8571428571428571,0.977,0.9215821812596006,60,13,917,10,15.394665241241455
50,0.7235337731914386,0.8450704225352113,0.8333333333333334,0.8571428571428571,0.978,0.9221198156682027,60,12,918,10,15.230782311757407
